,Employee ID,Email,Position,DOB,Marital Status,Gender,Hire Date,Salaried,Vacation Hours,Sick Leave Hours,Encrypted Password,Modified
1,295847284,ken0,Chief Executive Officer,01/29/69,S,M,01/14/09,1,99,69,F01251E5-96A3-448D-981E-0F99D789110D,06/30/14
2,245797967,terri0,Vice President of Engineering,08/01/71,S,F,01/31/08,1,1,20,45E8F437-670D-4409-93CB-F9424A40D6EE,06/30/14
3,509647174,roberto0,Engineering Manager,11/12/74,M,M,11/11/07,1,2,21,9BBBFB2C-EFBB-4217-9AB7-F97689328841,06/30/14
4,112457891,rob0,Senior Tool Designer,12/23/74,S,M,12/05/07,0,48,80,59747955-87B8-443F-8ED4-F8AD3AFDF3A9,06/30/14
5,695256908,gail0,Design Engineer,09/27/52,M,F,01/06/08,1,5,22,EC84AE09-F9B8-4A15-B4A9-6CCBAB919B08,06/30/14
6,998320692,jossef0,Design Engineer,03/11/59,M,M,01/24/08,1,6,23,E39056F1-9CD5-478D-8945-14ACA7FBDCDD,06/30/14
7,134969118,dylan0,Research and Development Manager,02/24/87,M,M,02/08/09,1,61,50,4F46DECA-EF01-41FD-9829-0ADAB368E431,06/30/14
8,811994146,diane1,Research and Development Engineer,06/05/86,S,F,12/29/08,1,62,51,31112635-663B-4018-B4A2-A685C0BF48A4,06/30/14
9,658797903,gigi0,Research and Development Engineer,01/21/79,M,F,01/16/09,1,63,51,50B6CDC6-7570-47EF-9570-48A64B5F2ECF,06/30/14
10,879342154,michael6,Research and Development Manager,11/30/84,M,M,05/03/09,1,16,64,EAA43680-5571-40CB-AB1A-3BF68F04459E,06/30/14
11,974026903,ovidiu0,Senior Tool Designer,01/17/78,S,M,12/05/10,0,7,23,F68C7C19-FAC1-438C-9BB7-AC33FCC341C3,06/30/14
12,480168528,thierry0,Tool Designer,07/29/59,M,M,12/11/07,0,9,24,1D955171-E773-4FAD-8382-40FD898D5D4D,06/30/14
13,486228782,janice0,Tool Designer,05/28/89,M,F,12/23/10,0,8,24,954B91B6-5AA7-48C2-8685-6E11C6E5C49A,06/30/14
14,42487730,michael8,Senior Design Engineer,06/16/79,S,M,12/30/10,1,3,21,46286CA4-46DD-4DDB-9128-85B67E98D1A9,06/30/14
15,56920285,sharon0,Design Engineer,05/02/61,M,F,01/18/11,1,4,22,54F2FDC0-87C4-4065-A7A8-9AC8EA624235,06/30/14
16,24756624,david0,Marketing Manager,03/19/75,S,M,12/20/07,1,40,40,E87029AA-2CBA-4C03-B948-D83AF0313E28,06/30/14
17,253022876,kevin0,Marketing Assistant,05/03/87,S,M,01/26/07,0,42,41,1B480240-95C0-410F-A717-EB29943C8886,06/30/14
18,222969461,john5,Marketing Specialist,03/06/78,S,M,02/07/11,0,48,44,64730415-1F58-4E5B-8FA8-5E4DAEBA53B4,06/30/14
